Date,Hour,Minute,Volume
20190101,1,0,10564.00
20190101,2,0,10216.70
20190101,3,0,10216.70
20190101,4,0,10366.80
20190101,5,0,10416.10
20190101,6,0,10614.50
20190101,7,0,11005.60
20190101,8,0,11347.90
20190101,9,0,11902.90
20190101,10,0,12230.10
20190101,11,0,12369.70
20190101,12,0,12355.60
20190101,13,0,12363.70
20190101,14,0,12265.10
20190101,15,0,12424.90
20190101,16,0,12855.80
20190101,17,0,14170.60
20190101,18,0,15102.80
20190101,19,0,14939.40
20190101,20,0,14493.20
20190101,21,0,13827.10
20190101,22,0,12986.40
20190101,23,0,12013.30
20190101,24,0,11410.30
20190102,1,0,11457.10
20190102,2,0,11103.40
20190102,3,0,10920.10
20190102,4,0,11121.30
20190102,5,0,11628.80
20190102,6,0,12710.20
20190102,7,0,14687.70
20190102,8,0,15683.90
20190102,9,0,15901.90
20190102,10,0,15466.90
20190102,11,0,14866.40
20190102,12,0,14617.00
20190102,13,0,14376.10
20190102,14,0,14365.90
20190102,15,0,14673.40
20190102,16,0,15149.40
20190102,17,0,16879.90
20190102,18,0,18160.90
20190102,19,0,18015.20
20190102,20,0,17463.00
20190102,21,0,16737.90
20190102,22,0,15688.30
20190102,23,0,14279.70
20190102,24,0,13079.00
20190103,1,0,12633.40
20190103,2,0,12309.90
20190103,3,0,11999.60
20190103,4,0,11973.00
20190103,5,0,12284.30
20190103,6,0,12768.20
20190103,7,0,14389.80
20190103,8,0,15599.20
20190103,9,0,15532.50
20190103,10,0,15346.40
20190103,11,0,15135.50
20190103,12,0,14814.70
20190103,13,0,14557.10
20190103,14,0,14429.30
20190103,15,0,14411.10
20190103,16,0,14701.70
20190103,17,0,15859.40
20190103,18,0,16925.10
20190103,19,0,16427.00
20190103,20,0,15970.70
20190103,21,0,15624.30
20190103,22,0,14687.40
20190103,23,0,13688.10
20190103,24,0,12263.60
20190104,1,0,11798.70
20190104,2,0,11826.70
20190104,3,0,11550.10
20190104,4,0,11597.20
20190104,5,0,11634.50
20190104,6,0,12567.20
20190104,7,0,14041.50
20190104,8,0,15012.00
20190104,9,0,14873.80
20190104,10,0,14144.80
20190104,11,0,13596.70
20190104,12,0,13049.10
20190104,13,0,12919.90
20190104,14,0,12760.30
20190104,15,0,12874.70
20190104,16,0,13275.00
20190104,17,0,14675.20
20190104,18,0,15371.90
20190104,19,0,15108.90
20190104,20,0,14599.20
20190104,21,0,13978.90
20190104,22,0,13131.60
20190104,23,0,12481.40
20190104,24,0,11419.60
20190105,1,0,11029.40
20190105,2,0,10731.60
20190105,3,0,10403.40
20190105,4,0,10409.20
20190105,5,0,10539.80
20190105,6,0,10916.40
20190105,7,0,11307.20
20190105,8,0,12336.70
20190105,9,0,13608.70
20190105,10,0,14677.70
20190105,11,0,14786.60
20190105,12,0,14882.40
20190105,13,0,14648.20
20190105,14,0,14693.30
20190105,15,0,14616.30
20190105,16,0,14813.20
20190105,17,0,15468.80
20190105,18,0,16032.00
20190105,19,0,15336.10
20190105,20,0,14913.70
20190105,21,0,14404.20
20190105,22,0,13569.00
20190105,23,0,12432.60
20190105,24,0,11438.60
20190106,1,0,10821.70
20190106,2,0,10730.60
20190106,3,0,10636.00
20190106,4,0,10869.50
20190106,5,0,11082.20
20190106,6,0,11353.20
20190106,7,0,11663.30
20190106,8,0,11529.10
20190106,9,0,11995.70
20190106,10,0,12357.50
20190106,11,0,12512.50
20190106,12,0,12491.30
20190106,13,0,12477.10
20190106,14,0,12490.50
20190106,15,0,12539.10
20190106,16,0,12957.70
20190106,17,0,14471.80
20190106,18,0,15470.10
20190106,19,0,15203.10
20190106,20,0,14785.10
20190106,21,0,14570.00
20190106,22,0,13936.30
20190106,23,0,13126.80
20190106,24,0,12322.40
20190107,1,0,12349.10
20190107,2,0,12026.50
20190107,3,0,11983.60
20190107,4,0,12178.40
20190107,5,0,12596.90
20190107,6,0,13786.60
20190107,7,0,16469.60
20190107,8,0,17642.40
20190107,9,0,17098.30
20190107,10,0,16536.00
20190107,11,0,16219.80
20190107,12,0,15909.30
20190107,13,0,15580.70
20190107,14,0,15452.00
20190107,15,0,15559.10
20190107,16,0,15859.50
20190107,17,0,17198.60
20190107,18,0,18060.40
20190107,19,0,17597.80
20190107,20,0,17098.60
20190107,21,0,16428.60
20190107,22,0,15326.50
20190107,23,0,13893.50
20190107,24,0,12577.50
20190108,1,0,12153.10
20190108,2,0,11859.20
20190108,3,0,11539.10
20190108,4,0,11620.30
20190108,5,0,11907.50
20190108,6,0,12529.80
20190108,7,0,14626.90
20190108,8,0,15739.90
20190108,9,0,15839.30
20190108,10,0,15489.20
20190108,11,0,15211.90
20190108,12,0,15209.50
20190108,13,0,15118.90
20190108,14,0,15018.00
20190108,15,0,15076.90
20190108,16,0,14879.00
20190108,17,0,15850.60
20190108,18,0,16589.10
20190108,19,0,16074.90
20190108,20,0,15419.00
20190108,21,0,14627.80
20190108,22,0,13703.50
20190108,23,0,12240.90
20190108,24,0,11224.40
20190109,1,0,11101.60
20190109,2,0,11121.70
20190109,3,0,11012.70
20190109,4,0,10971.50
20190109,5,0,11136.30
20190109,6,0,11695.80
20190109,7,0,13983.30
20190109,8,0,14922.10
20190109,9,0,14762.80
20190109,10,0,14562.20
20190109,11,0,14359.20
20190109,12,0,14116.70
20190109,13,0,13951.90
20190109,14,0,13902.10
20190109,15,0,13926.20
20190109,16,0,14331.60
20190109,17,0,15745.70
20190109,18,0,16662.60
20190109,19,0,16193.80
20190109,20,0,15668.30
20190109,21,0,15145.60
20190109,22,0,14508.80
20190109,23,0,13098.10
20190109,24,0,12012.00
20190110,1,0,11622.60
20190110,2,0,11454.80
20190110,3,0,11484.90
20190110,4,0,11662.20
20190110,5,0,11720.90
20190110,6,0,11910.40
20190110,7,0,14126.50
20190110,8,0,14751.00
20190110,9,0,14376.00
20190110,10,0,14348.60
20190110,11,0,14259.50
20190110,12,0,14094.60
20190110,13,0,13915.90
20190110,14,0,13901.30
20190110,15,0,13959.60
20190110,16,0,14340.20
20190110,17,0,15480.70
20190110,18,0,16679.10
20190110,19,0,16377.90
20190110,20,0,15909.30
20190110,21,0,15375.40
20190110,22,0,14507.30
20190110,23,0,13323.70
20190110,24,0,12297.10
20190111,1,0,12232.00
20190111,2,0,12413.50
20190111,3,0,12376.80
20190111,4,0,12355.20
20190111,5,0,12380.40
20190111,6,0,12717.90
20190111,7,0,15015.20
20190111,8,0,16224.60
20190111,9,0,15868.60
20190111,10,0,15458.80
20190111,11,0,14909.70
20190111,12,0,14726.40
20190111,13,0,14523.70
20190111,14,0,14560.30
20190111,15,0,14693.60
20190111,16,0,14801.10
20190111,17,0,16275.40
20190111,18,0,17420.30
20190111,19,0,16983.50
20190111,20,0,16464.10
20190111,21,0,16094.10
20190111,22,0,15284.20
20190111,23,0,14191.50
20190111,24,0,12931.40
20190112,1,0,13011.70
20190112,2,0,12799.60
20190112,3,0,12833.70
20190112,4,0,12702.90
20190112,5,0,13034.40
20190112,6,0,13314.60
20190112,7,0,14016.50
20190112,8,0,14691.00
20190112,9,0,15027.00
20190112,10,0,14927.10
20190112,11,0,14745.60
20190112,12,0,14523.00
20190112,13,0,14518.30
20190112,14,0,14141.70
20190112,15,0,14356.80
20190112,16,0,14603.20
20190112,17,0,15590.30
20190112,18,0,16855.40
20190112,19,0,16078.30
20190112,20,0,15713.60
20190112,21,0,15303.60
20190112,22,0,14907.50
20190112,23,0,14091.30
20190112,24,0,13133.10
20190113,1,0,13687.40
20190113,2,0,13304.00
20190113,3,0,13071.70
20190113,4,0,12952.00
20190113,5,0,13154.80
20190113,6,0,13395.60
20190113,7,0,14133.30
20190113,8,0,14761.00
20190113,9,0,15096.60
20190113,10,0,15084.30
20190113,11,0,14921.30
20190113,12,0,14485.00
20190113,13,0,14165.00
20190113,14,0,13980.80
20190113,15,0,14047.80
20190113,16,0,14477.00
20190113,17,0,15863.90
20190113,18,0,17088.90
20190113,19,0,16717.20
20190113,20,0,16185.10
20190113,21,0,15684.20
20190113,22,0,14886.50
20190113,23,0,14167.80
20190113,24,0,13340.00
20190114,1,0,12582.00
20190114,2,0,12594.80
20190114,3,0,12455.90
20190114,4,0,12543.60
20190114,5,0,12651.00
20190114,6,0,13687.20
20190114,7,0,15498.70
20190114,8,0,16331.10
20190114,9,0,16081.60
20190114,10,0,15686.30
20190114,11,0,15194.20
20190114,12,0,14723.20
20190114,13,0,14546.70
20190114,14,0,14417.40
20190114,15,0,14569.60
20190114,16,0,14849.90
20190114,17,0,15905.80
20190114,18,0,17254.40
20190114,19,0,16844.50
20190114,20,0,16233.20
20190114,21,0,15823.50
20190114,22,0,14901.20
20190114,23,0,13675.00
20190114,24,0,12518.50
20190115,1,0,12419.80
20190115,2,0,12467.70
20190115,3,0,12224.90
20190115,4,0,12364.80
20190115,5,0,12382.40
20190115,6,0,13514.60
20190115,7,0,15401.80
20190115,8,0,16228.40
20190115,9,0,15950.60
20190115,10,0,15349.80
20190115,11,0,14950.90
20190115,12,0,14411.40
20190115,13,0,14246.80
20190115,14,0,14129.50
20190115,15,0,14159.00
20190115,16,0,14426.90
20190115,17,0,15555.50
20190115,18,0,16831.80
20190115,19,0,16453.20
20190115,20,0,16061.10
20190115,21,0,15577.50
20190115,22,0,14666.40
20190115,23,0,13072.80
20190115,24,0,11976.20
20190116,1,0,13334.90
20190116,2,0,13022.40
20190116,3,0,12790.60
20190116,4,0,12747.10
20190116,5,0,13051.60
20190116,6,0,13553.60
20190116,7,0,15341.70
20190116,8,0,15830.30
20190116,9,0,15769.50
20190116,10,0,15441.50
20190116,11,0,14749.00
20190116,12,0,14725.20
20190116,13,0,14738.80
20190116,14,0,14625.50
20190116,15,0,14666.60
20190116,16,0,14760.70
20190116,17,0,15414.40
20190116,18,0,16545.50
20190116,19,0,16250.60
20190116,20,0,15880.70
20190116,21,0,15410.10
20190116,22,0,14454.70
20190116,23,0,13577.20
20190116,24,0,12397.00
20190117,1,0,12859.10
20190117,2,0,12828.40
20190117,3,0,12711.80
20190117,4,0,12647.70
20190117,5,0,12887.70
20190117,6,0,13526.00
20190117,7,0,15722.20
20190117,8,0,16536.00
20190117,9,0,16478.90
20190117,10,0,15896.20
20190117,11,0,15661.40
20190117,12,0,15653.10
20190117,13,0,15288.50
20190117,14,0,15304.30
20190117,15,0,15240.20
20190117,16,0,15333.00
20190117,17,0,16752.90
20190117,18,0,17923.20
20190117,19,0,17780.70
20190117,20,0,17044.00
20190117,21,0,16505.70
20190117,22,0,15427.50
20190117,23,0,14315.30
20190117,24,0,13484.60
20190118,1,0,12449.10
20190118,2,0,12036.80
20190118,3,0,11782.10
20190118,4,0,11659.20
20190118,5,0,11934.30
20190118,6,0,12843.30
20190118,7,0,14394.60
20190118,8,0,15315.50
20190118,9,0,15380.30
20190118,10,0,15552.50
20190118,11,0,15362.40
20190118,12,0,15009.00
20190118,13,0,14875.40
20190118,14,0,14785.00
20190118,15,0,14648.10
20190118,16,0,14669.90
20190118,17,0,15647.90
20190118,18,0,16312.30
20190118,19,0,16081.10
20190118,20,0,15617.70
20190118,21,0,14936.50
20190118,22,0,13944.00
20190118,23,0,12911.10
20190118,24,0,12025.70
20190119,1,0,12102.20
20190119,2,0,12063.00
20190119,3,0,12095.00
20190119,4,0,12194.70
20190119,5,0,12324.00
20190119,6,0,12159.70
20190119,7,0,12260.40
20190119,8,0,13382.20
20190119,9,0,13966.20
20190119,10,0,14543.30
20190119,11,0,14679.10
20190119,12,0,14835.20
20190119,13,0,14868.90
20190119,14,0,14701.40
20190119,15,0,14805.30
20190119,16,0,15018.60
20190119,17,0,15808.20
20190119,18,0,16880.70
20190119,19,0,16350.70
20190119,20,0,15752.40
20190119,21,0,15207.30
20190119,22,0,14533.90
20190119,23,0,13517.20
20190119,24,0,12360.70
20190120,1,0,11509.10
20190120,2,0,11374.30
20190120,3,0,11430.50
20190120,4,0,11420.40
20190120,5,0,11379.80
20190120,6,0,11546.60
20190120,7,0,11989.10
20190120,8,0,12563.30
20190120,9,0,13169.50
20190120,10,0,13823.10
20190120,11,0,14236.90
20190120,12,0,14374.60
20190120,13,0,14331.30
